LANGUAGE,English,Czech
STR_CFG_PAPABEAR,"BASE","Z¡KLADNA"

STR_WILL_PLAYER,"LONEWOLF","OSAMÃL› VLK",
STR_WILL_PILOT,"MESSIAH","MESI¡ä",
STR_WILL_VOJAK,"Tim Walkinson","Tim Walkinson",
STR_WILL_CREATOR,"Celoush","Celoush",

STR_MISS_LOAD,"Please wait...","ProsÌm Ëekejte..."

STR_P_1,"November Rain","November Rain"

STR_title1, "Celoush","Celoush",
STR_title2, "present","uv·dÌ",
STR_title3, "November Rain","November Rain",
STR_title4, "The End","Konec",

STR_WHQ_START, "LONE WOLF. DESTROY SCUD OR CALL US, WHEN YOU FAILED", "OSAMÃL› VLKU, ZAHAJTE AKCI. POKUSTE SE PRONIKNOUT KE SCUDU A ZNI»IT HO ZA POMOCÕ N¡LOéE. POKUD BUDETE ODHALET, PAK N¡S OKAMéITÃ KONTAKTUJTE!",
STR_SJ_START_ANSWER, "ROGER", "OSAMÃL› VLK ROZUMÕ. JDU NA TO. DRéTE MI PALCE.",

STR_SJ_ALARM, "BASE, THIS IS LONEWOLF. WE NEED MESIASH. I AM IN SHIT.", "Z¡KLADNO, TADY OSAMÃL› VLK. LITUJI, ALE BYL JSEM PROZRAZEN.",
STR_WHQ_ALARM_ANSWER, "ROGER. MESIASH, DESTROY SCUD. YOU HAVE ONE MINUTE.", "ROZUMÕME VLKU. ST¡HNÃTE SE. MESI¡äI M¡TE ZELENOU. ZAHAJTE AKCI. M¡TE NÃCO M¡LO PÿES MINUTU NA ZNI»ENÕ SCUDU NEé SE MU PODAÿÕ ODP¡LIT RAKETU.",
STR_AIR_ALARM_ANSWER, "BASE, THIS MESIASH. I AM READY.", "Z¡KLADNO, TADY MESI¡ä. JSME PÿIBLIéNÃ TÿI KILOMETRY OD CÕLE. JDEME NA TO",

STR_SJ_SCUD_FIRE,"BASE, THIS IS LONEWOLF. ITS TOO LATE.","Z¡KLADNO, TADY OSAMÃL› VLK. BOHUéEL POZDÃ, SCUD STIHL ODP¡LIT SVOU SVOU RAKETU.",

STR_SJ_SCUD_DOWN,"BASE, THIS IS MESIASH, SCUD IS OUT.","Z¡KLADNO, TADY MESI¡ä. HL¡SÕM ⁄SPÃCH. SCUD BYL ZNI»EN.",
STR_WHQ_SCUD_DOWN_ANSWER,"OK, GOOD JOB MESIASH. RETURN TO BASE.","V›BORN¡ PR¡CE MESI¡äI. VRAçTE SE NA Z¡KLADNU.",

STR_WHQ_TRANS_GO,"BASE TO NEXT TEAMS. YOU HAVE GREEN. GOOD LUCK.","Z¡KLADNA V¡éK¡M, M¡TE POVOLENO PÿIST¡T NA NEPÿ¡TELSK… PŸDÃ.",
STR_TRANS_READY,"ON THE WAY. MEN, WE HAVE TWO MINUTES TO LANDING ZONE.","JSME NA CESTÃ. V¡éKY KOBYLK¡M, M¡ME DVÃ MINUTY DO PÿIST¡NÕ.",
STR_CMD_READY,"WE HAVE FOUR MINUTES TO BE READY. THEN WE WILL ATTACK. NO ONE CAN SURVIVE.","JDEME NA TO HOäI. PO PÿIST¡NÕ MAJÕ VäECHNY T›MY PÿIBLIéNÃ »TYÿI MINUTY, ABY SE DOSTALI NA MÕSTO UR»ENÕ, PO T… BUDE ZAH¡JEN ⁄TOK, BEZ OHLEDU NA VAäI POZICI »I SITUACI. PO»ÕTEJTE, éE N¡M TAM NEDAJÕ NIC ZADARMO A PRAVDÃPODOBNÃ BUDOU BOJOVAT DO POSLEDNÕHO MUéE.",

STR_WHQ_ATTACK,"THIS IS BASE. ATTACK TO MIROV.","TADY Z¡KLADNA KOBYLK¡M. ZAHAJTE ⁄TOK.",
STR_CMD_ATTACK_ANSWER,"ROGER THAT","KOBYLKY ROZUMÕ. JDEME NA TO.",

STR_PLAYER_MIROV_CLEAR,"BASE, MIROV CLEARED. TERGIN DEAD.","Z¡KLADNO, TADY KOBYLKY. MÕROV VYPAD¡ »IäTÃ. ZBYTEK VOJ¡KŸ UTÕK¡ DO OKOLNÕCH LESŸ. TERGIN BYL ZABIT.",
STR_WHQ_MIROV_CLEAR_ANSWER,"GOOD JOB. VERY GOOD JOB","DOBR¡ PR¡CE KOBYLKY. DOBR¡ PR¡CE!",

STR_OUTRO_pokracovani_priste,"To be continued...","PokraËov·nÌ p¯ÌötÏ...",

STR_KILL_BOSS,"HE IS DEAD.","A JE PO NÃM. Z¡KLADNO, HL¡SÕM, éE TERGIN JE PO SMRTI",
STR_KILL_BVP,"HEYA, BVP OUT","BVP JE MIMO HRU",
STR_HIT_T55,"","Z¡SAH! DOSTAL TO PARCHANT!",
STR_KILL_T55,"YES, T55 OUT","JO, Z¡SAH. DOSTAL JSEM TANK! JE PO NÃM.",
